Date,Faculty,Subject,CatNbr,Level,Credit,Course Title,Sect,Type,MaxEnrol,Location,ActEnrol,NonCoopAFTE,CoopAFTE,TotAFTE,SeatsRemaining,%CapRemaining,%Filled,Status,CrsFlag,LastSemTaught5Yrs,#SemTaught2Yrs
07-Nov,APSC,CMPT,105W,100,3,Soc. Issues & Cmns. Strategies,D200,LEC,200,SURREY,3,0.3,0.0,0.3,197,99%,2%,,REG,1227,6
07-Nov,APSC,CMPT,105W,100,3,Soc. Issues & Cmns. Strategies,E100,LEC,200,BURNABY,22,2.2,0.0,2.2,178,89%,11%,,REG,1227,6
07-Nov,APSC,CMPT,120,100,3,Intro.Cmpt.Sci/Programming I,D100,LEC,200,BURNABY,1,0.1,0.0,0.1,199,100%,1%,,REG,1227,6
07-Nov,APSC,CMPT,120,100,3,Intro.Cmpt.Sci/Programming I,D200,LEC,200,BURNABY,4,0.4,0.0,0.4,196,98%,2%,,REG,1227,6
07-Nov,APSC,CMPT,120,100,3,Intro.Cmpt.Sci/Programming I,D300,LEC,195,BURNABY,3,0.3,0.0,0.3,192,98%,2%,,REG,1227,6
07-Nov,APSC,CMPT,125,100,3,Intro.Cmpt.Sci/Programming II,D100,LEC,200,BURNABY,15,1.5,0.0,1.5,185,93%,8%,,REG,1227,6
07-Nov,APSC,CMPT,135,100,3,Intro to Computer Prog II,D100,LEC,200,SURREY,4,0.4,0.0,0.4,196,98%,2%,,REG,1221,2
07-Nov,APSC,CMPT,210,200,3,Probability and Computing,D100,LEC,150,BURNABY,5,0.5,0.0,0.5,145,97%,3%,,REG,1227,2
07-Nov,APSC,CMPT,213,200,3,Object Oriented Design in Java,D100,LEC,120,SURREY,1,0.1,0.0,0.1,119,99%,1%,,REG,1227,5
07-Nov,APSC,CMPT,225,200,3,Data Structures/Programming,D100,LEC,180,BURNABY,29,2.9,0.0,2.9,151,84%,16%,,REG,1227,6
07-Nov,APSC,CMPT,225,200,3,Data Structures/Programming,D200,LEC,200,SURREY,1,0.1,0.0,0.1,199,100%,1%,,REG,1227,6
07-Nov,APSC,CMPT,276,200,3,Intro Software Engineering,D100,LEC,100,BURNABY,17,1.7,0.0,1.7,83,83%,17%,,REG,1227,6
07-Nov,APSC,CMPT,276,200,3,Intro Software Engineering,D200,LEC,100,SURREY,3,0.3,0.0,0.3,97,97%,3%,,REG,1227,6
07-Nov,APSC,CMPT,295,200,3,Intro. to Computer Systems,D100,LEC,190,BURNABY,40,4.0,0.0,4.0,150,79%,21%,,REG,1227,6
07-Nov,APSC,CMPT,295,200,3,Intro. to Computer Systems,D200,LEC,190,BURNABY,11,1.1,0.0,1.1,179,94%,6%,,REG,1227,6
07-Nov,APSC,CMPT,300,300,3,Operating Systems I,D100,LEC,200,BURNABY,13,1.3,0.0,1.3,187,94%,7%,,REG,1227,6
07-Nov,APSC,CMPT,300,300,3,Operating Systems I,D200,LEC,100,SURREY,3,0.3,0.0,0.3,97,97%,3%,,REG,1227,6
07-Nov,APSC,CMPT,305,300,3,Computer Simulation/Modelling,D100,LEC,100,BURNABY,7,0.7,0.0,0.7,93,93%,7%,,REG,1221,2
07-Nov,APSC,CMPT,307,300,3,Data Structures,D100,LEC,141,BURNABY,30,3.0,0.0,3.0,111,79%,21%,,REG,1227,6
07-Nov,APSC,CMPT,307,300,3,Data Structures,D200,LEC,150,BURNABY,8,0.8,0.0,0.8,142,95%,5%,,REG,1227,6
07-Nov,APSC,CMPT,310,300,3,Intro Artificial Intelligence,D100,LEC,150,BURNABY,33,3.3,0.0,3.3,117,78%,22%,,REG,1227,6
07-Nov,APSC,CMPT,318,300,3,Special Topics Cmpt. Science,D100,LEC,100,BURNABY,3,0.3,0.0,0.3,97,97%,3%,,REG,1227,4
07-Nov,APSC,CMPT,340,300,3,Biomedical Computing,OL01,OLC,150,BURNABY,17,1.7,0.0,1.7,133,89%,11%,,REG,1214,2
07-Nov,APSC,CMPT,354,300,3,Database Systems I,D100,LEC,141,BURNABY,20,2.0,0.0,2.0,121,86%,14%,,REG,1227,6
07-Nov,APSC,CMPT,354,300,3,Database Systems I,D300,LEC,120,SURREY,9,0.9,0.0,0.9,111,93%,8%,,REG,1227,6
07-Nov,APSC,CMPT,361,300,3,Intro to Computer Graphics,D100,LEC,100,BURNABY,2,0.2,0.0,0.2,98,98%,2%,,REG,1227,5
07-Nov,APSC,CMPT,363,300,3,User Interface Dsgn,D100,LEC,100,BURNABY,11,1.1,0.0,1.1,89,89%,11%,,REG,1227,6
07-Nov,APSC,CMPT,363,300,3,User Interface Dsgn,D200,LEC,100,BURNABY,10,1.0,0.0,1.0,90,90%,10%,,REG,1227,6
