course,section,term,year,prereq_text,prereq_codes,prereq_unparseable,schedule,instructors,units
BISC 317,D100,fall,2024,"BISC 101 and 102, both with a minimum grade of C-.",BISC 101,False,"[{'days': 'We, Fr', 'startTime': '8:30', 'endTime': '9:20', 'campus': 'Burnaby'}]",Gerhard Gries,3
BISC 328,D100,fall,2024,"BISC 101 and 102, both with a minimum grade of C-. Recommended: BISC 204.",BISC 101,False,"[{'days': 'Mo', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}, {'days': 'Tu', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Zamir Punja;Miranda Meents,3
BISC 333,D100,fall,2024,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-.",BISC 202;MBB 222;MBB 231,False,"[{'days': 'Mo, We, Fr', 'startTime': '11:30', 'endTime': '12:20', 'campus': 'Burnaby'}, {'days': 'Tu', 'startTime': '11:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Harald Hutter,3
BISC 341,D100,fall,2024,Acceptance in the Biological Sciences Co-operative Education Program.,,True,[],Natalia Bussard,3
BISC 357,D100,fall,2024,"BISC 202, MBB 222, and MBB 231, all with a minimum grade of C-. Recommended: MBB 331.",BISC 202;MBB 222;MBB 231,False,"[{'days': 'Mo, We, Fr', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Burnaby'}, {'days': 'Tu', 'startTime': '10:30', 'endTime': '11:20', 'campus': 'Burnaby'}]",Kathleen Fitzpatrick,4
BISC 360W,D100,fall,2024,"BISC 202, (BISC 204 or GEOG 215), and STAT 201, all with a minimum grade of C-.",BISC 202;BISC 204;GEOG 215;STAT 201,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}]",Isabelle Côté;Chelsea Little;Erin Barley,3
BISC 366,D100,fall,2024,"BISC 205 and MBB 231, both with a minimum grade of C-.",BISC 205;MBB 231,False,"[{'days': 'Mo, We, Fr', 'startTime': '9:30', 'endTime': '10:20', 'campus': 'Burnaby'}, {'days': 'Tu', 'startTime': '9:30', 'endTime': '10:20', 'campus': 'Burnaby'}]",Miranda Meents,3
BISC 410,D100,fall,2024,"BISC 102 and (BISC 204 or GEOG 215), both with a minimum grade of C-.",BISC 102;BISC 204;GEOG 215,False,"[{'days': 'Tu', 'startTime': '8:30', 'endTime': '10:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '8:30', 'endTime': '9:20', 'campus': 'Burnaby'}]",David Green,3
BISC 425,D100,fall,2024,"(BISC 205 or BPK 205) and MBB 231, both with a minimum grade of C-.",BISC 205;BPK 205;MBB 231,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'Fr', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Inigo Novales Flamarique,3
BISC 433,D100,fall,2024,"MBB 222, MBB 231, and BISC 303, all with a minimum grade of C-.",MBB 222;MBB 231;BISC 303,False,"[{'days': 'Th', 'startTime': '10:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Jane Fowler,3
BISC 441,D100,fall,2024,"BISC 202 or 204, both with a minimum grade of C-. Recommended: BISC 300.",BISC 202,False,"[{'days': 'Tu', 'startTime': '11:30', 'endTime': '13:20', 'campus': 'Burnaby'}, {'days': 'Th', 'startTime': '11:30', 'endTime': '12:20', 'campus': 'Burnaby'}]",Bernard Crespi,3
BISC 471,D100,fall,2024,To be announced.,,False,"[{'days': 'Mo', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Sherryl Bisgrove,3
BISC 474,D100,fall,2024,To be announced.,,False,"[{'days': 'Mo', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}, {'days': 'We', 'startTime': '14:30', 'endTime': '15:20', 'campus': 'Burnaby'}]",Leah Bendell,3
BISC 475,D100,fall,2024,To be announced.,,False,"[{'days': 'We', 'startTime': '13:30', 'endTime': '14:20', 'campus': 'Burnaby'}, {'days': 'Fr', 'startTime': '12:30', 'endTime': '14:20', 'campus': 'Burnaby'}]",Tanya Brown,3
BPK 105,OL01,fall,2024,"Recommended: Grade 11 Biology, Chemistry and Physics.",,False,[],Ryan Peter Dill,3
BPK 110,D100,fall,2024,,,False,"[{'days': 'Tu', 'startTime': '14:30', 'endTime': '16:20', 'campus': 'Burnaby'}]",Diana Bedoya,3
BPK 110,OL01,fall,2024,,,False,[],Leanne Ramer,3
BPK 140,D100,fall,2024,,,False,"[{'days': 'Th', 'startTime': '8:30', 'endTime': '10:20', 'campus': 'Burnaby'}]",Amanda Zacharuk,3
BPK 140,OL01,fall,2024,,,False,[],Leanne Ramer,3
BPK 141,OL01,fall,2024,,,False,[],Carmen Bott,3
