course,term,year,prereqs
acma 101,spring,2024,
acma 201,spring,2024,"MATH 152 with a minimum grade of C; or MATH 155 or MATH 158, with a grade of at least B."
acma 336,spring,2024,Students must apply and receive permission from the co-op coordinator at least one but preferably two terms in advance. They will normally be required to have completed 45 units with a GPA of 2.50 before they may take this practicum course.
acma 337,spring,2024,ACMA 336 or Job Practicum I from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 340,spring,2024,"ACMA 201 (or 210), with a minimum grade of C. Corequisite: STAT 285."
acma 401,spring,2024,"ACMA 301 (or 320), with a minimum grade of C."
acma 436,spring,2024,ACMA 337 or Job Practicum II from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 437,spring,2024,ACMA 436 or Job Practicum III from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 438,spring,2024,ACMA 437 or Job Practicum IV from another department. Students must apply and receive permission from the co-op coordinator at least one term in advance.
acma 455,spring,2024,ACMA 355 with a minimum grade of C.
acma 470,spring,2024,
acma 831,spring,2024,
acma 832,spring,2024,
als 610,spring,2024,
als 615,spring,2024,
als 620,spring,2024,
apma 905,spring,2024,
apma 922,spring,2024,
apma 990,spring,2024,
apma 995,spring,2024,Applied Mathematics PhD stream students only. Must be completed within first six terms of the program.
arch 100,spring,2024,
arch 101,spring,2024,
arch 131,spring,2024,
arch 200,spring,2024,
arch 226,spring,2024,
arch 273,spring,2024,"Any one of the following: ARCH 100, ARCH 101, EVSC 100, GEOG 100, or REM 100."
arch 285,spring,2024,12 units.
arch 301,spring,2024,45 credit hours.
arch 322,spring,2024,ARCH 131.
arch 329,spring,2024,ARCH 101 or ARCH 201.
arch 340,spring,2024,ARCH 101 or ARCH 201.
arch 344,spring,2024,ARCH 131 or any lower division biology course.
arch 350,spring,2024,Acceptance in the Environment Co-operative Education Program.
arch 351,spring,2024,ARCH 350 and readmission to the Environment Co-operative Education Program.
arch 363,spring,2024,"ARCH 100 or ARCH 101 or ARCH 201, and 45 units."
arch 365,spring,2024,"ARCH 101 or ARCH 201; or any two of ARCH 100, REM 100, GEOG 100, EVSC 100; and 45 units."
arch 373,spring,2024,"ARCH 131 or any lower division ARCH, BISC, HSCI, or BPK course."
arch 376,spring,2024,"ARCH 101 or ARCH 201, and any one of ARCH 285, GEOG 251, PSYC 210, STAT 101, STAT 201, STAT 203, or STAT 205."
arch 386,spring,2024,ARCH 101 or ARCH 201.
arch 450,spring,2024,ARCH 351 and readmission to the Environment Co-operative Education Program.
arch 451,spring,2024,ARCH 450 and readmission to the Environment Co-operative Education Program.
arch 452,spring,2024,"ARCH 373 or HSCI 321, HSCI 324, BPK 303, BPK 324, BPK 325, BPK 326. ARCH 373 is recommended."
arch 479,spring,2024,"45 units, including ARCH 282 or 372, and permission of the department."
arch 480,spring,2024,"45 units, including ARCH 282 or 372, and permission of the department."
arch 498,spring,2024,Permission of the department.
arch 499,spring,2024,Permission of the department.
arch 551,spring,2024,Enrollment in the MA or Certificate in HRM.
arch 561,spring,2024,Enrollment in the MA or Certificate in HRM.
arch 591,spring,2024,"10 units, consent of supervising faculty member, and approval of the director of the HRM program."
arch 873,spring,2024,
arch 874,spring,2024,Only available to students in the Archaeology PhD program.
arch 875,spring,2024,Only available to students in the Archaeology PhD program.
arch 876,spring,2024,
arch 892,spring,2024,
arch 893,spring,2024,
arch 896,spring,2024,
arch 898,spring,2024,
arch 899,spring,2024,
bisc 101,spring,2024,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+); and Chemistry 12 (or equivalent) with a minimum grade of C (or CHEM 111 with a minimum grade of C-)."
bisc 102,spring,2024,"Biology 12 (or equivalent) with a minimum grade of C (or BISC 100 with a minimum grade of C-, or BISC 113 with a minimum grade of C+, or BPK 105 with a minimum grade of C+, or HSCI 100 with a minimum grade of C+)."
bisc 113,spring,2024,
bisc 202,spring,2024,"BISC 101 and 102, both with a minimum grade of C-."
bisc 204,spring,2024,"BISC 101 and 102, both with a minimum grade of C-."
