name,department,rating,num_ratings,would_take_again_percent,difficulty,courses
Stephen Collis,English,4.1,83,87.5,2.7,ENG; ENG100; ENG101; ENG102; ENG112; ENG300; ENG338; ENG349; ENG355; ENGL102; ENGL107; ENGL111; ENGL112; ENGL112W; ENGL202; ENGL205; ENGL347; ENGL349; ENGL372; ENGL374; ENGL397; ENGL418W; ENGL472; ENGL474; ENGLISH327; ENGLISHPOETRY; FASS101; POETRY100LEVE
Michael Schmitt,Psychology,4,62,70.5882,2.1,PSCY363; PSY366; PSYC363; PSYC366; PSYC391; PSYCH363; PSYCH366; PSYCPSYC
Joanna Niezen,Mathematics,3.9,33,73.5294,3.6,MATH292; Math150; Math190
Cory Ahn,Mathematics,4.3,28,88.4615,3.2,FANX99; MATH100; MATH151; MATH152; MATH157
Rhonda Arab,English,3.6,15,50,2.5,ENG103; ENG103W; ENG203; ENG311; ENGL103; ENGL113W; ENGL203; ENGL204; ENGL311
Troy Boucher,Psychology,4.8,8,77.7778,3.3,PSYC201W; PSYC391
Alexandra Coates,Biomedical Physiology & Kinesiology,4,6,66.6667,4.2,BPK205
Nabyl Merbouh,Chemistry,3.6,185,49.4845,3.8,CHEM281; CHEM281L; CHEM282; CHEM283; CHEM286; CHEM380
Dave Ng,Biomedical Physiology & Kinesiology,3,21,61.9048,3.8,BPK110; BPK142
Bohdan Nosyk,Health Science,2.1,20,43.75,4.7,HSCI372; HSCI416; HSCI471; HSCI484
Hoi-Kwan (Kero) Lau,Physics,1,15,0,4.7,Phys-121
Wendi Palmer,Education,1,14,0,5,EDUC400; EDUC401; EDUC403; EDUC405
Deniz Anginer,Finance,4.6,8,100,3.1,BUS315; BUS418
Akash Rattan,Business Administration,1.6,5,20,4.2,BUS254; BUS321; BUS424
Himchan Jeong,Statistics,5,3,100,2.7,ACMA201; ACMA231; RISK421
Mohammad Soltanshah,Engineering,5,2,100,3,CMPT310; ENSC204
Nicolas Bommarito,Philosophy,4.6,23,91.3043,1.9,PHIL150; PHIL322; PHIL342; PHIL357; PHIL421W
Amanda Butler,Criminology,3.8,13,77.7778,3.1,131; CRIM131; CRIM241; Crim346; crim101
Andrei Bulatov,Mathematics,3.3,148,71.7172,3.6,CMPT210; CMPT307; CMPT308; CMPT404; CMPT409; MACM101
Wei Becky Lin,Statistics,4.3,125,85.7143,2.6,STAT100; STAT201; STAT203; STAT270; STAT271; STAT302
Toby Donaldson,Computer Science,3.5,72,67.7966,2.9,CMPT120; CMPT125; CMPT135; CMPT225; CMPT310; CMPT383
NICHOLAS VINCENT,Computer Science,4.9,69,97.1429,2.1,cmpt120; cmpt419
Nadine Wicks,Biomedical Physiology  Kinesiology,4.1,66,80.303,3.7,BISC405; BPK140; BPK205; BPK306; BPK307; BPK408W; SCI140
Jamie Mullholand,Mathematics,4.8,46,95.5556,2.9,MACM201; MATH150; MATH151; MATH152; MATH232; MATH251; math155
Jorge Calderon,French,2.5,33,29.4118,3.2,FR3XXX; FREN230; FREN245; FREN340; FREN360; FREN430; FREN444; FREN452; FREN472; FRENFREN
Christian Guilbault,Languages,3.4,25,60,3.3,270; FREN; FREN270; FREN275; FREN331; FREN424; FREN425; FRENXXX
Sheena  Tan,Education,4.4,14,93.3333,3,EDUC211; MATH190; Math151
Tao Wang,Computer Science,2.6,14,46.6667,3.9,cmpt276; cmpt479
Anas Atakora,French,4.8,12,100,1.9,FREN101; FREN300
Laurence Gauvreau,French,2.8,6,50,3.5,FREN112; FREN122; FREN301; MODL1102
Jiguo Cao,Statistics,3.9,6,0,2.3,DATA180; STAT285
Jianliang Wu,Computer Science,2,6,16.6667,4.2,CMPT403; CMPT789
Zahra Borghei,Business Administration,2,3,25,3.7,BUS275; BUS321
Claudette Lauzon,Art,1,2,33.3333,4.5,CA118
Rupak Shrestha ,International Studies,5,2,66.6667,2.5,IS230
Shivanand Balram,Geography,3.7,152,54.878,3.1,GEO150; GEOG150; GEOG151; GEOG251; GEOG253; GEOG255; GEOG355
James Busumtwi-Sam,Political Science,3.8,101,45.8333,3.2,346; DEVS201; DEVS401; IOIR1111; PL448; POL342; POL344; POL345; POL346; POL374; POL448; POLANY; POLI100
Jane Friesen,Economics,2.7,95,58.3333,3.2,BUEC280; ECON103; ECON280; ECON381; ECON435; ECON838
Neil Watson,Psychology,3.9,74,74.1935,3.7,PSYC280; PSYC381; PSYCH280
John-Henry Harter,History,4.1,68,62.5,2.7,HIS101; HIST101; HIST102W; HIST327; HIST424; LBST101; LBST301; LBST301W; LBST311; LBST330
Darren Fleet,Communication,3.5,20,60,3.3,CMNS130; CMNS316; CMNS323; cmns110
Cecile Vigouroux,French,3.6,44,53.3333,3.4,FRE330; FRE370; FREN275; FREN330; FREN332; FREN370; FREN420; FREN423; FREN452; FREN4XX; FREN800; FRENFREN; FRENLING; FRENXXX; FRLINLING; LING100; LINGFREN
Claudia Gomez,Business Administration,2.1,37,26.3158,3.2,BUS341; BUS343; BUS443; BUS447
Michel Virgilio,Mathematics,4,8,77.7778,2.5,MATH1130; MATH1140; MATH157; MATH251; MATH310
Gopolang  Mohlabeng,Physics,2,7,37.5,3.9,PHYS313; Phys-126
John Bechhoefer,Physics,1.6,4,0,4.5,PHYS211; PHYS231; PHYS234
Robert Britton,Chemistry,4.1,140,79.1045,3.4,CHEM280; CHEM281; CHEM455
Vijay Singh,Mathematics,3.5,79,69.697,3,MACM316; MATH1152; MATH130; MATH151; MATH152; MATH152251; MATH157; MATH242; MATH251; MATH260; MATH342; MMT100
David Whitehurst,Health Science,3.7,57,64.2857,2.7,HSCI206; HSCI310
Dylan Cooke,Biomedical Physiology amp Kinesiology,1.3,49,5.8824,4.7,BPK207; BPK423
Yueh Li,Molecular Biology & Biochemistry,4.4,20,80.9524,2.3,MBB222; MBB324
Rebecca Cobb,Psychology,2.3,97,16.9231,3.7,362; INTERPERSONALR; PSCY362; PSYC362; PSYC367; PSYC462
Martin Andresen,Criminology,2.7,70,24,3.7,CRIM101; CRIM320; CRIM350; CRIM352
Nancy Forde,Physics,2.2,61,19.2308,4,PHYS102; PHYS132
Cheng Li,Engineering,1.7,28,10.3448,4.2,ENSC-151
Sevda Sattari,Business Administration,5,5,100,2.6,BUS345
Michael  Hamilton,Chemistry,0,0,100,0,122
Amy Conroy,Criminology,2.2,241,31.405,4.1,CRIM135; CRIM230; CRIM330; CRIM331; CRIM332
Clare McGovern,Political Science,3.3,85,56.9767,3.7,POL121; POL151; POL221; POL330; POL332; POL421; POL421W; POL428
Gherardo Caracciolo,Business Administration,3.8,81,67.0732,3.4,BUS312; BUS313; BUS412
Niall MacKenzie,Humanities,3.5,72,53.5714,3.3,101W; 407W; ENG100; ENG101W; ENG111W; ENG199W; ENG410; ENGL101; ENGL101W; ENGL111W; ENGL199W; ENGL304; ENGL359; ENGL410; GSWS204; HIST106; HIST404; HIST444; HUM; HUM101; HUM130; HUM202; HUM330; HUM340
Arne Eigenfeldt,Music,2.8,57,27.7778,3.3,CA140; CA142; CA386; CMNS147; FPA140; FPA147; FPA247; FPA289; FPA345
Kent Williams,Business Administration,2.1,32,27.2727,4,BUS275; BUS489; BUS716
Agnes Macdonald,Sociology,2.2,17,23.5294,3.6,SA150; SA302; SA304; SA350
Cleusa Yamamoto,Business Administration,3.9,14,73.3333,2.9,BUS232
Tsoghik Grigoryan,Education,4.9,7,100,3.1,EDUC240; EDUC322; FALX99
Kevin Laughren,Economics,2.9,25,50,3.9,ECON201; ECON220W; ECON342; ECON383; ECON455W; ECON484
Farouk Abdul-Salam Salam,Business Administration,1,2,33.3333,2,BUS346
Ouldooz Karimi,Computer Science,2,101,23.7624,3.5,CMPT354; CMPT371; CMPT454; CMPT471; CMPT474; CMPT756
Erika Plettner,Chemistry,2,78,27.2727,4.4,CHEM; CHEM282; CHEM380; CHEM452; SCI300
Masahiro Minami,Education,4.8,12,100,2.1,EDUC324; EDUC423
Matthew Sigal,Psychology,2.5,113,40.3509,3.9,21O; PSYC210; PSYC301
Yue Wang,Languages,2.9,33,50,2.8,410; LING100; LING130; LING290; LING330; LING415; LINQUISTICS130
Paul Garfinkel,History,4.4,139,86.0465,3.2,225; H225; HIS225; HIST106; HIST224; HIST225; HIST391; HIST433; HIST433W; HIST445; HIST4XX; HUM-106; HUM-321W; HUM-350; HUM333W; HUM335; HUM360
Michael Johnson,Business Administration,4.4,81,66.6667,2.6,336; BUEC232; BUS336; BUS706; COMM651
Sara Graves,Business Administration,3.2,47,57.4468,3.2,BUS275; BUS303; BUS374; BUS660; BUS716
Julian Guttman,Biology,3.7,35,76.4706,3.2,BISC303; BISC428
Suzanne Hilgendorf,Linguistics,2.8,34,17.6471,3.1,GERM102; GERM103; GERM201; LING160; LING200; LING2111; LING309; LING309W; LING410
Sarah Rosengard,Science,5,7,87.5,2.4,EVSC100; EVSC195
Tasnim Abedalqader,Linguistics,1,1,0,3,LING160
Ingrid Northwood,Microbiology,3.7,139,80.7692,2.9,HSCI326; MBB; MBB221; MBB231; MBB321; MBB326
Peter Leavitt,Psychology,4.8,98,95.9596,2.2,100; 102; 201; 300W
David Muraki,Mathematics,2.4,93,42.4242,4.3,316; APMA900; MACM316; MAT251; MATH251; MATH302; MATH314; MATH322; MATH418; MATH462; MATH495
JF Williams,Mathematics,2.9,82,54.902,3.9,232; MACM202; MACM204; MATH130; MATH155; MATH232; MATH251; MATH475; Macm316
Ahmad Bisher,Business Administration,3.3,50,56.8627,3.4,BUS237
Katrina Honigs,Mathematics,3.9,49,70,3.2,MATH441; Math157; math240
Nicolas Fillion,Philosophy,3.6,80,50.6329,3.8,PHIL110; PHIL310; PHIL314; PHIL341; PHIL451W
vaibhav saria,Gender Studies,4,3,75,3,GSWS-332; GSWS212
Lakshman (Lucky) One,Engineering,2.8,113,36.5854,3.7,440; ENSC; ENSC150; ENSC252; ENSC316; ENSC350; ENSC416; ENSC425; ENSC426; ENSC440; XXX
Hasina Samji,Health Science,2.6,9,30,3.6,HSCI300; HSCI330; HSCI432; HSCI802
Ilya Vinkovetsky,History,3.6,67,54.5455,3.3,224; HIST106; HIST224; HIST225; HIST334; HIST335; HIST419; HIST420; HIST4XX; HISTHIST; HST225
Rajiv Kozhikode,International Business,4,25,66.6667,3.5,BUS374; BUS430
Uzair Azmat,Business Administration,2.9,24,58.3333,3.9,BUS207; BUS410
Susan Bubra.,Business Administration,1.4,40,12.1951,4.5,BUS251; BUS254; BUS311; BUS322; BUS330
Anushay Malik,Labor Studies,4.4,40,87.8049,3.1,472W; GA101; HIS243; HIST130; HIST130W; HIST243; HIST252; HIST358; HIST472W; IS101; IS265; LBST201
Trevor Block,Linguistics,5,34,100,2.9,LING100; LING200; LING220; LING280; LING282; LING301W; LING323; LING324; LING350; LING400
Elizabeth Elle,Biology,3.4,34,77.7778,3.6,BIO102; BISC; BISC102; BISC360W; BISC400; BISC404; BISCSECT; ECOLOGY
Brad Bart,Computer Science,3,419,40.0943,4.1,CMPT210; CMPT307; MACA101; MACM101
Peter Dickinson,English,3.4,68,16.6667,3.1,103W; ENG; ENG103; ENG103W; ENG113W; ENG368; ENG399; ENG468; ENGL103; ENGL103W; ENGL3; ENGL357; ENGL368CDE; ENGL376; ENGL380; ENGL382; ENGL399; ENGL468W; ca135
Sabine Betts,Physics,4,18,80,2.7,ILSA101; PHY140; PHYS102; PHYS140
Hamideh Shokoohian,Business Administration,3,21,50,3.6,BUS232; BUS336; BUS373
Diana Bedoya,Kinesiology,4,186,66.3551,3.1,110; BPK110; BPK140; BPK326; BPK340; BPK417
Medha Kumar,Business Administration,1,1,0,5,BUS272; BUS374
Steven  Adang ,Business Administration,5,1,50,3,BUS417
Stephen Choi,Mathematics,3.7,197,77.2727,2.6,MATH154; MATH155; MATH157; MATH240; MATH242; MATH254; MATH260; MATH322; MATH342; MATH419; math152
Graeme Bowbrick,Criminology,3.9,192,60.5769,3.6,135; 230; ALS602; ALS620; CRIM135; CRIM230; POL151
Richard Wong,Business Administration,4.7,71,90.2778,3.2,BUS251; BUS254; BUS321; BUS331
Sonja Isberg,Statistics,5,63,100,2.1,STAT100; STAT201; STAT270; STAT271; STAT285; STAT305; STAT485
